1,2
2,3
3,1
4,6
5,7
6,1
7,5
8,3
9,4
10,2
11,5
12,8
13,9
14,1
15,3
16,6
17,8
18,3
19,8
20,7
21,4
22,2
23,1
24,8
25,4
26,9
27,2
28,5
29,2
30,6
31,3
32,1
33,3
34,4
35,8
36,9
37,2
38,6
39,5
40,6
41,9
42,7
43,6
44,8
45,7
46,9
47,1
48,1
49,9
50,2
51,5
52,6
53,6
54,5
55,4
56,2
57,2
58,1
59,8
60,6
61,4
62,4
63,2
64,9
65,8
66,9
67,4
68,5
69,8
70,7
71,1
72,5
73,7
74,1
75,2
76,5
77,9
78,1
79,3
80,4
81,7
82,8
83,3
84,9
85,7
86,5
87,4
88,2
89,7
90,1
91,2
92,6
93,8
94,4
95,7
96,4
97,2
98,9
99,8
100,3
101,4
102,1
103,6
104,8
105,4
106,9
107,7
108,2
109,6
110,5
111,6
112,3
113,8
114,1
